50,225,0,4
300,250,5,3
1200,350,10,4
1600,125,15,2
1800,225,18,5
2300,225,25,3
2500,125,29,2
2700,188,32,3
3000,175,36,2
3825,238,40,3
4000,213,44,3
4262,163,48,4
4675,150,53,3
4850,288,57,3
5737,213,61,4
5812,250,66,5
7087,213,73,4
7125,163,78,2
7312,325,81,3
8000,238,86,3
8187,138,90,2
8350,200,93,4
8687,250,98,3
9837,175,103,3
10062,225,107,3
10325,163,111,4
10612,225,116,3
10875,213,120,4
11125,188,125,3
11450,288,129,3
12425,213,133,3
12712,150,137,3
12950,125,141,4
13150,125,146,2
13312,225,149,3
14137,275,154,3
15212,225,158,4
15462,150,163,2
15600,113,166,2
15875,175,169,4
16100,200,174,3
16350,213,178,5
16612,288,184,3
17812,188,189,3
18075,325,193,3
19262,363,197,4
19400,125,202,2
19625,125,205,2
19987,188,208,2
20400,213,211,4
20625,238,216,5
21200,200,222,4
21475,138,227,3
21625,188,231,2
21900,300,234,3
23287,213,239,3
23562,213,243,3
23887,175,247,4
24000,225,252,3
24237,163,256,3
24462,225,260,4
25675,300,265,4
25880,175,270,3
26105,138,274,3
26275,138,278,3
26450,150,282,4
26612,163,287,3
26837,163,291,4
27525,163,296,2
27825,213,299,4
28000,188,304,3
28212,163,308,2
28437,113,311,5
28612,175,317,4
28812,288,322,3
30287,238,326,3
30437,150,330,2
30750,225,333,3
